,UBE2C,TPX2,FOXM1,E2F1,CEP55,NEK2,CDCA8,CDK1,CCNB1,CKS2
UBE2C,0.0,0.7619556178942717,0.6258539926061436,0.6122293711924788,0.660153883343828,0.5596493612878684,0.6810315582254886,0.6690194888745435,0.6592503931197273,0.5692238493869299
TPX2,0.7619556178942717,0.0,0.7537114202214001,0.5823583428238074,0.7467685559898919,0.6510887836207894,0.7588871336960373,0.7241653741950135,0.713469359787131,0.5284285648057155
FOXM1,0.6258539926061436,0.7537114202214001,0.0,0.5697498985873996,0.734112249880854,0.6151325141761311,0.6806218459671814,0.6184968491727667,0.5990883201779859,0.4510675936110107
E2F1,0.6122293711924788,0.5823583428238074,0.5697498985873996,0.0,0.5072995080494841,0.44959482952745305,0.5534713544225963,0.5417132274851243,0.5324355692982458,0.4338307099885207
CEP55,0.660153883343828,0.7467685559898919,0.734112249880854,0.5072995080494841,0.0,0.6249046524504075,0.7068664138430301,0.7194166609462463,0.6312872311727503,0.5025754709240874
NEK2,0.5596493612878684,0.6510887836207894,0.6151325141761311,0.44959482952745305,0.6249046524504075,0.0,0.5974597911526015,0.6270542959090055,0.5960581492985703,0.46637888445103853
CDCA8,0.6810315582254886,0.7588871336960373,0.6806218459671814,0.5534713544225963,0.7068664138430301,0.5974597911526015,0.0,0.653904990716506,0.6345726160020166,0.4993708531058351
CDK1,0.6690194888745435,0.7241653741950135,0.6184968491727667,0.5417132274851243,0.7194166609462463,0.6270542959090055,0.653904990716506,0.0,0.6658405465026972,0.5532976115100992
CCNB1,0.6592503931197273,0.713469359787131,0.5990883201779859,0.5324355692982458,0.6312872311727503,0.5960581492985703,0.6345726160020166,0.6658405465026972,0.0,0.5575477022875823
CKS2,0.5692238493869299,0.5284285648057155,0.4510675936110107,0.4338307099885207,0.5025754709240874,0.46637888445103853,0.4993708531058351,0.5532976115100992,0.5575477022875823,0.0
